State,Area Name,"Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2012-2016","High school diploma only, 2012-2016","Some college or associate's degree, 2012-2016","Bachelor's degree or higher, 2012-2016","Percent of adults with less than a high school diploma, 2012-2016","Percent of adults with a high school diploma only, 2012-2016","Percent of adults completing some college or associate's degree, 2012-2016","Percent of adults with a bachelor's degree or higher, 2012-2016"
TN,Houston County,"29.9","41.2","18.6","10.3","1,322","2,586","1,204","615","23.1","45.2","21.0","10.7"
TN,Humphreys County,"28.0","43.2","19.4","9.3","2,150","5,423","3,546","1,643","16.8","42.5","27.8","12.9"
TN,Jackson County,"38.4","38.8","14.4","8.4","1,974","4,183","1,597","675","23.4","49.6","18.9","8.0"
TN,Jefferson County,"29.0","35.7","22.5","12.8","6,020","14,454","10,658","5,765","16.3","39.2","28.9","15.6"
TN,Johnson County,"41.6","34.5","17.0","6.9","3,184","5,579","3,304","1,355","23.7","41.6","24.6","10.1"
TN,Knox County,"17.5","27.2","26.3","29.0","28,076","77,105","86,220","106,087","9.4","25.9","29.0","35.7"
TN,Lake County,"44.0","35.3","15.3","5.4","1,532","2,591","1,043","519","26.9","45.6","18.3","9.1"
TN,Lauderdale County,"37.7","38.2","16.4","7.7","4,509","8,294","4,033","1,579","24.5","45.0","21.9","8.6"
TN,Lawrence County,"34.5","38.3","18.5","8.7","5,742","12,221","7,224","3,330","20.1","42.9","25.3","11.7"
TN,Lewis County,"30.5","40.2","20.9","8.5","1,463","3,605","2,296","1,033","17.4","42.9","27.3","12.3"
TN,Lincoln County,"30.4","36.7","21.0","11.9","3,932","9,709","5,789","4,123","16.7","41.2","24.6","17.5"
TN,Loudon County,"24.4","33.2","25.4","17.0","5,458","12,142","10,103","9,420","14.7","32.7","27.2","25.4"
TN,McMinn County,"30.7","36.1","22.3","10.8","6,167","16,036","9,433","5,014","16.8","43.8","25.7","13.7"
TN,McNairy County,"31.5","40.2","19.5","8.8","3,512","8,123","4,539","1,989","19.3","44.7","25.0","11.0"
TN,Macon County,"39.8","39.0","15.6","5.6","3,734","6,958","3,273","1,419","24.3","45.2","21.3","9.2"
TN,Madison County,"21.2","30.8","26.4","21.5","7,395","21,656","18,982","16,472","11.5","33.6","29.4","25.5"
TN,Marion County,"35.4","34.3","20.7","9.5","4,381","7,480","5,845","2,494","21.7","37.0","28.9","12.3"
TN,Marshall County,"26.4","41.2","21.7","10.6","3,420","9,007","5,978","3,004","16.0","42.1","27.9","14.0"
TN,Maury County,"22.1","36.4","27.9","13.6","6,968","21,180","19,163","11,506","11.8","36.0","32.6","19.6"
TN,Meigs County,"36.5","36.7","19.8","7.0","1,797","3,756","2,197","750","21.1","44.2","25.8","8.8"
TN,Monroe County,"33.3","37.2","19.5","10.1","6,682","13,752","7,665","3,887","20.9","43.0","24.0","12.2"
TN,Montgomery County,"15.7","30.5","34.6","19.3","8,986","35,314","42,118","29,316","7.8","30.5","36.4","25.3"
TN,Moore County,"23.4","40.0","24.8","11.8","645","1,881","1,319","800","13.9","40.5","28.4","17.2"
TN,Morgan County,"36.2","40.9","16.8","6.0","3,140","7,525","3,710","1,158","20.2","48.4","23.9","7.5"
TN,Obion County,"29.0","41.3","19.4","10.3","3,683","9,051","5,273","3,578","17.1","41.9","24.4","16.6"
TN,Overton County,"41.0","37.9","12.8","8.3","3,323","6,832","3,107","2,131","21.6","44.4","20.2","13.8"
TN,Perry County,"36.2","38.3","18.3","7.1","1,373","2,291","1,336","545","24.8","41.3","24.1","9.8"
TN,Pickett County,"37.1","39.4","14.4","9.1","878","1,627","1,006","357","22.7","42.1","26.0","9.2"
TN,Polk County,"37.8","37.6","17.1","7.5","2,523","5,021","3,307","1,163","21.0","41.8","27.5","9.7"
TN,Putnam County,"27.4","32.1","20.2","20.2","7,047","18,182","10,743","11,599","14.8","38.2","22.6","24.4"
TN,Rhea County,"34.7","34.2","22.0","9.1","5,301","8,124","5,684","2,901","24.1","36.9","25.8","13.2"
TN,Roane County,"25.2","36.1","23.9","14.8","5,498","14,495","11,491","7,279","14.2","37.4","29.6","18.8"
TN,Robertson County,"25.2","39.0","24.0","11.9","6,145","17,868","13,368","8,279","13.5","39.1","29.3","18.1"
TN,Rutherford County,"18.2","31.8","27.0","22.9","16,566","54,180","54,455","54,252","9.2","30.2","30.3","30.2"
TN,Scott County,"39.3","38.1","15.1","7.5","3,359","6,912","3,213","1,320","22.7","46.7","21.7","8.9"
TN,Sequatchie County,"33.3","38.5","18.0","10.2","1,879","4,040","3,055","1,370","18.2","39.1","29.5","13.2"
TN,Sevier County,"25.4","36.4","24.7","13.5","10,979","24,724","19,257","11,686","16.5","37.1","28.9","17.5"
TN,Shelby County,"19.2","26.2","29.3","25.3","77,978","161,292","181,736","181,892","12.9","26.8","30.1","30.2"
TN,Smith County,"32.5","40.5","17.7","9.3","2,272","6,132","3,296","1,405","17.3","46.8","25.2","10.7"
TN,Stewart County,"25.7","42.0","22.1","10.2","1,287","3,899","2,962","1,222","13.7","41.6","31.6","13.0"
TN,Sullivan County,"24.2","33.0","24.6","18.1","16,167","40,025","32,761","24,163","14.3","35.4","29.0","21.4"
TN,Sumner County,"20.3","32.1","29.0","18.6","12,555","37,621","36,783","29,923","10.7","32.2","31.5","25.6"
TN,Tipton County,"25.4","36.7","27.1","10.8","5,757","15,990","12,244","6,291","14.3","39.7","30.4","15.6"
TN,Trousdale County,"38.6","35.2","17.3","8.9","1,105","2,106","1,338","790","20.7","39.4","25.1","14.8"
TN,Unicoi County,"32.3","35.9","21.1","10.6","2,535","5,409","3,652","1,668","19.1","40.8","27.5","12.6"
TN,Union County,"43.7","35.5","15.0","5.8","3,077","5,953","2,970","1,326","23.1","44.7","22.3","10.0"
TN,Van Buren County,"38.0","42.4","11.8","7.8","803","1,976","849","483","19.5","48.1","20.7","11.7"
TN,Warren County,"32.8","39.3","18.8","9.1","5,854","11,804","6,090","3,601","21.4","43.2","22.3","13.2"
TN,Washington County,"22.8","29.0","25.3","22.9","9,909","26,216","23,134","26,452","11.6","30.6","27.0","30.9"
TN,Wayne County,"38.7","38.0","15.3","8.0","2,654","5,373","3,027","1,317","21.5","43.4","24.5","10.6"
TN,Weakley County,"29.7","35.8","19.1","15.3","3,266","8,644","5,039","4,536","15.2","40.2","23.5","21.1"
TN,White County,"35.2","39.0","17.8","7.9","3,318","8,599","4,490","2,192","17.8","46.2","24.1","11.8"
