Utah,"1.673121708959811E-4","1.8519064765422626E-4"
Vermont,"1.0796992309050998E-4","7.157930650904926E-5"
Virginia,"4.055053600040528E-4","4.5527768209825513E-4"
Washington,"9.136233568383992E-4","0.0011947917964388395"
West Virginia,"9.39585590253293E-5","1.0112657838197074E-4"
Wisconsin,"4.186925261830463E-4","3.9992856718137405E-4"
Wyoming,"3.461631121985816E-5","7.116314775027571E-5"
Alabama,"0.0019323319441656539","0.002167770974451381"
Alaska,"8.019445432600475E-4","7.961117055337863E-4"
Arizona,"0.0043525890369540705","0.004703426291658573"
Arkansas,"0.0015709211710726108","0.0017536930094717068"
California,"0.05638584998771801","0.054474349205939125"
Colorado,"0.004019613090934482","0.006978150067114755"
Connecticut,"0.0018330160988801081","0.0017516122156778391"
Delaware,"3.8984560016649787E-4","4.1948802884373055E-4"
District of Columbia,"0.0028290592443372176","0.0028939680085112124"
Florida,"0.019723879614343468","0.022959478721536322"
Georgia,"0.006993731163240629","0.008537913094997992"
Guam,"5.237777566719015E-4","5.414225451643784E-4"
Hawaii,"0.0026106468044976364","0.0025993276072995442"
Idaho,"7.339482176496117E-4","8.19000437266331E-4"
Illinois,"0.005532428311030903","0.00588614948409298"
Indiana,"0.0025121551570982783","0.0026047376711636006"
Iowa,"0.0012709131405005069","0.0012185128456889316"
Kansas,"0.0011097824537509289","0.0011169701085481873"
Kentucky,"0.0021614589565256675","0.0021765103083856256"
Louisiana,"0.00215362907660689","0.0032343858731879696"
Maine,"0.0012428904123701454","9.958679097450864E-4"
Maryland,"0.0033812718280825742","0.003934364905445068"
Massachusetts,"0.007841830788127153","0.007283194437295762"
Michigan,"0.004750264517039346","0.005240271090476443"
Minnesota,"0.0033849807185704164","0.0032227334279423107"
Mississippi,"9.902737602537994E-4","0.0010041910849205573"
Missouri,"0.0035362210306857486","0.004260217213564751"
Montana,"7.739218151296861E-4","7.628190048319029E-4"
Nebraska,"0.0012960511760292132","0.0015768255369929514"
Nevada,"0.003479351376538839","0.00413079183958618"
New Hampshire,"5.963071706563661E-4","6.225735031252192E-4"
New Jersey,"0.0049460115150087814","0.005420467833025387"
New Mexico,"0.001161706920580716","0.0013504351722201445"
New York,"0.03190882116373354","0.028950500212840236"
North Carolina,"0.005014419939562311","0.0056281310536533844"
North Dakota,"8.526327132605539E-4","2.8631722603619705E-4"
Ohio,"0.005079119473627998","0.005816650971377799"
Oklahoma,"0.0018165321411563664","0.0020941108741484643"
Oregon,"0.005696031591439042","0.006586960833867625"
Pennsylvania,"0.006216924655509288","0.006132515469286918"
Puerto Rico,"0.0017011444370901726","0.0013367019331806174"
Rhode Island,"5.703449372414726E-4","5.314347349538133E-4"
South Carolina,"0.002696775483604188","0.00204542029937196"
South Dakota,"4.508362437443432E-4","3.574803737864727E-4"
Tennessee,"0.00392647872979534","0.003922712460199409"
Texas,"0.01220431019971547","0.01417103805375666"
US Virgin Islands,"1.9863169057109085E-4","2.0142083924639442E-4"
Utah,"0.0013504482365175618","0.0014677919421942833"
Vermont,"5.99191863258021E-4","4.82744160177309E-4"
Virginia,"0.0031422544410883153","0.0035057213839083195"
Washington,"0.0073188772293414405","0.008532919189892709"
West Virginia,"9.231016325295509E-4","0.0010029426086442367"
Wisconsin,"0.0025154519486430263","0.0025081888391281387"
Wyoming,"3.927302927681527E-4","7.54495829656432E-4"
US Virgin Islands,"1.5659759837554882E-5","1.914330290358294E-5"
Nevada,"3.4863570585714294E-4","4.203203463612776E-4"
Puerto Rico,"2.711611045555556E-4","2.9880198879940327E-4"
Arkansas,"2.629191256936846E-4","3.2710078439600413E-4"
California,"0.010341210877989532","0.010491362308680998"
Georgia,"0.0016858967761957113","0.0021444660839600627"
Louisiana,"5.431464069972983E-4","6.034302002216361E-4"
Mississippi,"2.678643130108072E-4","2.576022716808226E-4"
Tennessee,"0.0010792871319620064","0.0010491362308680998"
South Carolina,"7.450748891131376E-4","6.60860108932385E-4"
Alabama,"5.365528239078015E-4","5.759637221425824E-4"
Oklahoma,"5.064696010619724E-4","6.566985213446496E-4"
Wyoming,"1.1373930829381968E-4","2.1265712573328004E-4"
Texas,"0.0036499603389795686","0.0055386569205170735"
Alaska,"2.406657827666329E-4","2.5593763664572846E-4"
Connecticut,"5.550972763470112E-4","5.422548626819255E-4"
West Virginia,"2.868208643931105E-4","2.7799405086072616E-4"
Florida,"0.006800868857872847","0.007656905002674403"
Oregon,"0.001989613697255657","0.0025135989029921946"
Montana,"2.748699950433975E-4","2.7757789210195263E-4"
Maryland,"0.0012297032461911518","0.001551023693948992"
New Mexico,"4.2569820821563664E-4","4.6152006347985824E-4"
Kentucky,"8.007082464307667E-4","8.106772620908602E-4"
Michigan,"0.0017683165648144212","0.0021619447518285515"
Rhode Island,"2.1511564829483285E-4","2.035016330402621E-4"
North Carolina,"0.0019113148980678828","0.0020991047792537467"
Ohio,"0.0019426344177429925","0.002547723921211625"
Arizona,"0.0016698249174150626","0.0020774645237975225"
Indiana,"9.663720215543737E-4","0.0012247552270705346"
Idaho,"2.8723296333620405E-4","3.30013895707419E-4"
Delaware,"1.5288870788770687E-4","1.6521502723309625E-4"
Nebraska,"5.163599756962176E-4","6.550338863095553E-4"
Washington,"0.0029436227505172242","0.003841561502238568"
Utah,"5.431464069972983E-4","6.150826454672954E-4"
North Dakota,"3.4575101325548806E-4","8.448022803102907E-5"
Virginia,"0.0012746220309883486","0.001389970254303631"
Illinois,"0.0022529449218924354","0.0024449327077945603"
New Hampshire,"2.6745221406771364E-4","2.7632941582563203E-4"
Kansas,"4.998760179724756E-4","4.8191184265976186E-4"
Missouri,"0.0016191367474145562","0.002239766439719204"
District of Columbia,"0.0013059415506634585","0.001326297964211279"
Hawaii,"0.0012280548504187776","0.0012967506923383574"
Pennsylvania,"0.002931259782224418","0.003096637324033927"
Maine,"5.987797643149275E-4","4.6027158720353764E-4"
South Dakota,"2.212971324412361E-4","1.4440708929441915E-4"
New Jersey,"0.0024350926547397843","0.002672571548843688"
Iowa,"6.428743512259373E-4","6.167472805023895E-4"
Wisconsin,"0.00127709462464691","0.0012459793237679854"
